Adagala, Beatrice Kahai, VIHIGA COUNTY, ANC - YES
Khodhe, Phelix Odiwuor, LANGATA, ODM - ABSENT
Kibagendi, Antoney, KITUTU CHACHE SOUTH, ODM - NO
Kiti, Richard Ken Chonga, KILIFI SOUTH, ODM - NO
Kombe, Harrison Garama, MAGARINI, ODM - ABSENT
Luyai, Caleb Amisi, SABOTI, ODM - NO
Machele, Mohamed Soud, MVITA, ODM - NO
Manduku, Daniel, NYARIBARI MASABA, ODM - ABSENT
Masara, Peter Francis, SUNA WEST, ODM - NO
Masito, Fatuma Hamisi, KWALE COUNTY, ODM - ABSENT
Mayaka, Irene Nyakerario, NOMINATED, ODM - ABSENT
Mboko, Mishi Juma Khamisi, LIKONI, ODM - NO
Mohamed, Abdikadir Hussein, LAGDERA, ODM - ABSENT
Mohamed, Junet Sheikh Nuh, SUNA EAST, ODM - NO
Mohamed, Umulkher Harun, NOMINATED, ODM - ABSENT
Mugabe, Innocent Mainoo, LIKUYANI, ODM - NO
Muhanda, Elsie Busihile, KAKAMEGA COUNTY, ODM - NO
Mukhwana, Titus Khamala, LURAMBI, ODM - ABSENT
Mwale, Nicholas S. Tindi, BUTERE, ODM - ABSENT
Mwanyanje, Gertrude Mbeyu, KILIFI COUNTY, ODM - NO
Mnyazi, Amina Laura, MALINDI, ODM - SUSPENDED
Nabii, Nabwera Daraja, LUGARI, ODM - NO
Nabulindo, Peter Oscar, MATUNGU, ODM - ABSENT
Naibun, Paul Ekwom, TURKANA NORTH, ODM - ABSENT
Naicca, Johnson Manya, MUMIAS WEST, ODM - ABSENT
Namoit, John Ariko, TURKANA SOUTH, ODM - ABSENT
Ng’ongo, John Mbadi, NOMINATED, ODM - ABSENT
Nyamita, Mark Ogolla, URIRI, ODM - ABSENT
Nyikal, James Wambura, SEME, ODM - NO
Obara, Eve Akinyi, KABONDO KASIPUL, ODM - ABSENT
Odanga, Geoffrey Makokha, MATAYOS, ODM - NO
Odege, Tom Mboya, NYATIKE, ODM - NO
Odhiambo, Elisha Ochieng, GEM, ODM - YES
Odhiambo, Millie Grace Akoth, SUBA NORTH, ODM - SUSPENDED
Odoyo, Okello Jared, NYANDO, ODM - NO
Oduor, Christine Ombaka, SIAYA COUNTY, ODM - NO
Ogolla, Gideon Ochanda, BONDO, ODM - ABSENT
Oku, Edward Kaunya, TESO NORTH, ODM - NO
Okuome, Andrew Adipo, KARACHUONYO, ODM - NO
Oluoch, Anthony Tom, MATHARE, ODM - NO
Omanyo, Catherine Nakhabi, BUSIA COUNTY, ODM - SUSPENDED
Omondi, Caroli, SUBA SOUTH, ODM - YES
Omwera, George Aladwa, MAKADARA, ODM - ABSENT
Ongili, Babu Owino Paul, EMBAKASI EAST, ODM - ABSENT
Orero, Peter Ochieng, KIBRA, ODM - NO
Oron, Joshua Odongo, KISUMU CENTRAL, ODM - NO
Osero, Patrick Kibagendi, BORABU, ODM - NO
Osogo, Bensuda Joyce Atieno, HOMA BAY COUNTY, ODM - ABSENT
Oundo, Wilberforce Ojiambo, FUNYULA, ODM - ABSENT
Owino, John Walter, AWENDO, ODM - ABSENT
Owino, Martin Peters Wuod Chief, NDHIWA, ODM - NO
Owuor, Joshua Aduma, NYAKACH, ODM - NO
Oyoo, James Onyango, MUHORONI, ODM - NO
Oyula, Joseph H. Maero, BUTULA, ODM - ABSENT
Passaris, Esther Muthoni, NAIROBI CITY COUNTY, ODM - YES
Sakimba, Parashina Samuel, KAJIADO SOUTH, ODM - ABSENT
Shimbwa, Omar Mwinyi, CHANGAMWE, ODM - NO
Shinali, Bernard Masaka, IKOLOMANI, ODM - NO
Wandayi, James Opiyo, UGUNJA, ODM - NO
Wangaya, Christopher Aseka, KHWISERO, ODM - ABSENT
Wangwe, Emmanuel, NAVAKHOLO, ODM - ABSENT
Wanjala, Raphael Sauti Bitta, BUDALANGI, ODM - NO
Were, Sir Charles Ong’ondo, KASIPUL, ODM - NO
Wetangula, Timothy Wanyonyi, WESTLANDS, ODM - NO
Mupe, Anthony Kenga, RABAI, PAA - YES
Rai, Samuel Gonzi, KINANGO, PAA - YES
Tungule, Charo Kenneth Kazungu, GANZE, PAA - YES
Kiunjuri, Festus Mwangi, LAIKIPIA EAST, TSP - YES
Nduyo, Susan Ngugi, THARAKA NITHI COUNTY, TSP - YES
Akuja, Protus Ewesit, LOIMA, UDA - YES
Alfah, Miruka Ondieki, BOMACHOGE CHACHE, UDA - YES
Ali, Abdisirat Khalif, NOMINATED, UDA - YES
Bader, Salim Feisal, MSAMBWENI, UDA - YES
Barre, Hussein Abdi, TARBAJ, UDA - ABSENT
Barrow, Dekow Mohamed, GARISSA TOWNSHIP, UDA - ABSENT
Bartoo, Phylis Jepkemoi, MOIBEN, UDA - YES
Baya, Owen Yaa, KILIFI NORTH, UDA - YES
Biego, Paul Kibichy, CHESUMEI, UDA - YES
Bowen, David Kangogo, MARAKWET EAST, UDA - YES
Chebor, Paul Kibet, RONGAI, UDA - YES
Chege, John Kiragu, LIMURU, UDA - YES
Chelule, Liza Chepkorir, NAKURU COUNTY, UDA - YES
Chepkonga, Kiprono Samwel, AINABKOI, UDA - YES
Chepkorir, Linet Toto, BOMET COUNTY, UDA - YES
Chepkwony, Charity Kathambi, NJORO, UDA - YES
Cherorot, Joseph Kimutai, KIPKELION EAST, UDA - YES
Chesebe, Fred Kapondi, MT ELGON, UDA - YES
Chumel, Samwel Moroto, KAPENGURIA, UDA - YES
Double N, Pamela Njoki Njeru, EMBU COUNTY, UDA - ABSENT
Emathe, Joseph Namuar, TURKANA CENTRAL, UDA - YES
Gachagua, George N., NDARAGWA, UDA - ABSENT
Gachobe, Samuel Kinuthia, SUBUKIA, UDA - YES
Gakuya, James Mwangi, EMBAKASI NORTH, UDA - YES
Gathiru, Mejjadonk Benjamin, EMBAKASI CENTRAL, UDA - YES
Gichohi, Kaguchia John Philip, MUKURWEINI, UDA - YES
Gichuki, Edwin Mugo, MATHIOYA, UDA - YES
Gikaria, David, NAKURU TOWN EAST, UDA - YES
Gitari, Joseph Gachoki, KIRINYAGA CENTRAL, UDA - ABSENT
Gitau, Faith Wairimu, NYANDARUA COUNTY, UDA - YES
Githinji, Robert Gichimu, GICHUGU, UDA - YES
GK, George Macharia Kariuki, NDIA, UDA - YES
Ichung’wah, Anthony Kimani, KIKUYU, UDA - YES
Ikiara, Dorothy Muthoni, NOMINATED, UDA - YES
Iraya, Joseph Wainaina, NOMINATED, UDA - YES
Jhanda Zaheer, NYARIBARI CHACHE, UDA - ABSENT
Kagiri, Jane Wangechi, LAIKIPIA COUNTY, UDA - ABSENT
Kagombe, Gabriel Gathuka, GATUNDU SOUTH, UDA - YES
Kahangara, Joseph Mburu, LARI, UDA - YES
Kahugu, Eric Meangi, MATHIRA, UDA - YES
Kailema, Elizabeth Karambu, MERU COUNTY, UDA - YES
Kamuren, Charles, BARINGO SOUTH, UDA - YES
Kandie, Joshua Chepyegon, BARINGO CENTRAL, UDA - YES
Karani, Stephen Wachira, LAIKIPIA WEST, UDA - YES
Karemba, Eric Muchangi Njiru, RUNYENJES, UDA - ABSENT
Kemei, Beatrice Chepng’eno, KERICHO COUNTY, UDA - YES
Kemei, Justice Kipsang, SIGOWET/SOIN, UDA - YES
Kemero, Maisori Marwa Kitayama, KURIA EAST, UDA - YES
Kihara, Jayne Wanjiru Njeru, NAIVASH, UDA - YES
Kihungi, Peter Irungu, KANGEMA, UDA - ABSENT
Kilel, Richard Cheruiyot, BOMET CENTRAL, UDA - YES
Kimani, Francis Kuria, MOLO, UDA - YES
Kingara, Simon Ng’ang’a, RUIRU, UDA - YES
Kipbiwot, Julius Melly, TINDERET, UDA - YES
Kipngor, Reuben Kiborek, MOGOTIO, UDA - YES
Kipkoech, Gideon Kimaiyo, KEIYO SOUTH, UDA - YES
Kipkoros, Joseph Makilap, BARINGO NORTH, UDA - YES
Kiplagat, David, SOY, UDA - ABSENT
Kiprono, Mutai Alfred, KURESOI NORTH, UDA - YES
Kipyegon, Johana Ng’eno, EMURUA DIKIRR, UDA - YES
Kirima, Moses Nguchine, IMENTI CENTRAL, UDA - YES
Kirwa, Abraham Kipsang, MOSOP, UDA - ABSENT
Kitany, Marianne Jebet, ALDAI, UDA - YES
Kitur, Bernard Kibor, NANDI HILLS, UDA - YES
Koech, Nelson, BELGUT, UDA - YES
Komingoi, Kibet Kirui, BURETI, UDA - YES
Korir, Adams Kipsanai, KEIYO NORTH, UDA - YES
Kosgei, Hilary Kiplangat, KIPKELION WEST, UDA - YES
Kosgei, Jackson Kipkemoi, NOMINATED, UDA - YES
Langat, Benjamin Kipkirui, AINAMOI, UDA - YES
Lelmengit, Josses Kiptoo Kosgey, EMGWEN, UDA - YES
Lemanken, Aramat, NAROK EAST, UDA - YES
Lenguris, Pauline, SAMBURU COUNTY, UDA - YES
Letipila, Dominic Eli, SAMBURU NORTH, UDA - YES
Lochakapong, Peter, SIGOR, UDA - YES
Logova, Sloya Clement, SABATIA, UDA - YES
M’Anaiba, Julius Taitumu, IGEMBE NORTH, UDA - YES
Maina, Betty Njeri, MURANGA COUNTY, UDA - YES
Maina, Jane Njeri, KIRINYAGA COUNTY, UDA - YES
Maingi, Mary, MWEA, UDA - YES
Mathenge, Duncan Maina, NYERI TOWN, UDA - YES
Mbai, Nimrod Mbithuka, KITUI EAST, UDA - ABSENT
Mbiuki, Japhet Miriti Kareke, MAARA, UDA - YES
Mizighi, Lydia Haika Mnene, TAITA TAVETA, UDA - YES
Mohamed, Mohamed Ali, NYALI, UDA - ABSENT
Mokaya, Nyakundi Japheth, KITUTU CHACHE NORTH, UDA - YES
Muchira, Michael Mwangi, OL JOROK, UDA - YES
Muge, Cynthia Jepkosgei, NANDI COUNTY, UDA - ABSENT
Muhia, Wanjiku, KIPIPIRI, UDA - YES
Mukunji, John Gitonga Mwaniki, MANYATTA, UDA - YES
Munyoro, Joseph Kamau, KIGUMO, UDA - YES
Muratha, Anne Wanjiku Mugo, KIAMBU COUNTY, UDA - ABSENT
Muriu, Wakili Edward, GATANGA, UDA - ABSENT
Murugara, George Gitonga, THARAKA, UDA - ABSENT
Murwithania, Rindikiri Mugambi, BUURI, UDA - YES
Musau, Vincent Musyoka, MWALA, UDAC- ABSENT
Mutua, Didmus Wekesa Barasa, KIMILILI, UDA - YES
Mutunga, John Kanyuithia, TIGANIA WEST, UDA - YES
Mwafrika, Augustine Kamande, ROYSAMBU, UDA - YES
Mwangi, Geoffrey Wandeto, TETU, UDA - YES
Mwangi, Teresia Wanjiru, NOMINATED, UDA - YES
Mwiring, John Paul, IGEMBE SOUTH, UDA - YES
Nanok, Daniel Epuyo, TURKANA WEST, UDA - YES
Ndung’u George Koimburi, JUJA, UDA - YES
Ng’ang’a Alice Wambui, THIKA TOWN, UDA - YES
Ngitit, Cecilia Asinyen, TURKANA COUNTY, UDA - YES
Nguro, Onesmus Ngogoyo, KAJIADO NORTH, UDA - YES
Njoroge, Mary Wamaua Waithira, MARAGWA, UDA - ABSENT
Njuguna, Chege, KANDARA, UDA - YES
Ntwiga, Patrick Munene, CHUKA/IGAMBANG'OMBE, UDA - YES
Nyamoko, Joash Nyamache, NORTH MUGIRANGO, UDA - YES
Nyoro, Samson Ndindi, KIHARU, UDA - YES
Onyiego, Silvanus Osoro, SOUTH MUGIRANGO, UDA - YES
Otucho, Mary Emaase, TESO SOUTH, UDA - YES
Pukose, Robert (Dr.), ENDEBESS, UDA - YES
Raso, Dido Ali, SAKU, UDA - YES
Risa, Sunkuiya George, KAJIADO WEST, UDA - ABSENT
Robi, Mathias Nyamabe, KURIA WEST, UDA - YES
Rutto, Julius Kipletting, KESSES, UDA - ABSENT
Saney, Ibrahim Abdi, WAJIR NORTH, UDA - ABSENT
Sankaire, Leah Sopiato, KAJIADO COUNTY, UDA - YES
Sergon, Flowrence Jematiah, BARINGO COUNTY, UDA - YES
Shollei, Gladys Jepkosgei Boss, UASIN GISHU, UDA - ABSENT
Sigei, Francis Kipyegon arap, SOTIK, UDA - YES
Sirma, Musa Cherutich, ELDAMA RAVINE, UDA - YES
Sitati, Daniel Wanyama, WEBUYE WEST, UDA - YES
Sitienei, Janet Jepkemboi, TURBO, UDA - YES
Siyoi, Lillian Chebet, TRANS NZOIA, UDA - YES
Sudi, Oscar Kipchumba, KAPSERET, UDA - ABSENT
Tongoyo, Gabriel Koshal, NAROK WEST, UDA - YES
Tonkei, Rebecca Noonaishi, NAROK COUNTY, UDA - YES
Tonui, Joseph Kipkosgei, KURESOI SOUTH, UDA - YES
Wachira, Rahab Mukami, NYERI COUNTY, UDA - YES
Wainaina, Antony Njoroge, KIENI, UDA - YES
Wainaina, Michael Wambugu, OTHAYA, UDA - YES
Waithaka, John Machua, KIAMBU, UDA - YES
Wamacukuru, James Githua Kamau, KABETE, UDA - YES
Wamuchomba, Gathoni, GITHUNGURI, UDA - NO
John Njuguna Kawanjiku, KIAMBAA, UDA - YES
Wanjira, Martha Wangari, GILGIL, UDA - YES
Waqo, Naomi Jillo, MARSABIT COUNTY, UDA - YES
Waweru, John Kiarie, DAGORETTI SOUTH, UDA - YES
